country,date,confirmed,deaths,recovered,active,new_cases,new_deaths,population,cases_per_million,deaths_per_million,mortality_rate,recovery_rate
USA,2020-03-29,208941,5122,182351,21468,2730,66,331000000,631.2416918429003,15.474320241691842,2.4514097281050633,87.27391943180132
USA,2020-03-30,213115,7318,181939,23858,3141,107,331000000,643.8519637462235,22.108761329305135,3.4338268071229145,85.37127841775568
USA,2020-03-31,217371,4812,192113,20446,2199,48,331000000,656.7099697885196,14.537764350453172,2.213726762079578,88.38023471392228
USA,2020-04-01,221711,3192,186215,32304,3237,46,331000000,669.821752265861,9.643504531722053,1.4397120575884823,83.98996892350853
USA,2020-04-02,226136,3272,199235,23629,2493,36,331000000,683.190332326284,9.885196374622357,1.4469168995648636,88.10406127286234
USA,2020-04-03,230649,6463,198845,25341,2875,80,331000000,696.8247734138972,19.525679758308158,2.8020932239029865,86.21108264072248
USA,2020-04-04,235251,5344,212976,16931,2578,58,331000000,710.7280966767371,16.145015105740182,2.2716162736821524,90.531389877195
USA,2020-04-05,239944,5937,226394,7613,2142,53,331000000,724.9063444108762,17.93655589123867,2.4743273430467108,94.35284899809956
USA,2020-04-06,244728,7990,213567,23171,2506,81,331000000,739.3595166163142,24.138972809667674,3.2648491386355465,87.26708835932136
USA,2020-04-07,249607,6521,226135,16951,2304,60,331000000,754.0996978851964,19.70090634441088,2.612506860785154,90.59641756841755
USA,2020-04-08,254582,4010,227996,22576,3093,48,331000000,769.1299093655589,12.114803625377643,1.5751309990494222,89.5569993165267
USA,2020-04-09,259655,7585,215578,36492,2654,77,331000000,784.4561933534743,22.915407854984895,2.921183878608153,83.024782884982
USA,2020-04-10,264827,5759,228898,30170,3307,71,331000000,800.0815709969788,17.398791540785496,2.174627209461271,86.43302986477966
USA,2020-04-11,270101,7749,253004,9348,3145,90,331000000,816.0151057401813,23.41087613293051,2.8689268088603894,93.67014561219692
USA,2020-04-12,275479,6561,247048,21870,2302,54,331000000,832.2628398791541,19.821752265861026,2.3816697461512493,89.67943110001126
USA,2020-04-13,280961,3338,246163,31460,3309,39,331000000,848.8247734138972,10.084592145015106,1.1880652474898652,87.61465114375305
USA,2020-04-14,286552,4788,255907,25857,2097,35,331000000,865.7160120845921,14.465256797583082,1.6709009185069377,89.30560596331556
USA,2020-04-15,292251,5806,272496,13949,2384,47,331000000,882.9335347432025,17.540785498489424,1.9866484631361399,93.24039951959104
USA,2020-04-16,298063,3505,257758,36800,3255,38,331000000,900.4924471299094,10.589123867069485,1.1759258948611535,86.47769095795185
USA,2020-04-17,303988,5765,262585,35638,2860,54,331000000,918.3927492447131,17.41691842900302,1.8964564390699632,86.38005447583458
USA,2020-04-18,310029,5600,289767,14662,2281,41,331000000,936.6435045317221,16.91842900302115,1.806282638075793,93.46448235487648
USA,2020-04-19,316188,8765,281703,25720,2038,56,331000000,955.250755287009,26.48036253776435,2.772084962111149,89.0935139853505
USA,2020-04-20,322467,6608,278191,37668,2294,47,331000000,974.2205438066466,19.963746223564954,2.0492019338412923,86.26960278105976
USA,2020-04-21,328868,3959,276374,48535,2795,33,331000000,993.5589123867071,11.9607250755287,1.2038264592480874,84.03797268204872
USA,2020-04-22,335395,4982,283663,46750,2827,42,331000000,1013.2779456193354,15.051359516616314,1.485412722312497,84.57579868513245
USA,2020-04-23,342048,3854,323446,14748,2469,27,331000000,1033.3776435045318,11.643504531722055,1.1267424455047244,94.5615820001871
USA,2020-04-24,348831,8536,307156,33139,1891,46,331000000,1053.870090634441,25.788519637462233,2.4470302238046506,88.05295400924803
USA,2020-04-25,355746,6475,303378,45893,2919,53,331000000,1074.7613293051359,19.561933534743204,1.8201188488415891,85.27938472955424
USA,2020-04-26,362796,11237,335123,16436,3419,105,331000000,1096.0604229607252,33.948640483383684,3.0973329364160573,92.37229737924343
USA,2020-04-27,369982,4059,324351,41572,2260,24,331000000,1117.7703927492448,12.262839879154079,1.0970803985058732,87.66669729878751
USA,2020-04-28,377308,6854,351688,18766,2724,49,331000000,1139.9033232628399,20.706948640483386,1.816553054798732,93.20979147009871
USA,2020-04-29,384776,13132,336290,35354,2306,78,331000000,1162.4652567975832,39.6737160120846,3.412894775141901,87.39890221843358
USA,2020-04-30,392389,5830,347656,38903,3228,47,331000000,1185.4652567975832,17.613293051359516,1.485770498153618,88.5998333286611
USA,2020-05-01,400149,5385,341837,52927,3007,40,331000000,1208.9093655589124,16.268882175226587,1.3457487086060442,85.42742828296458
USA,2020-05-02,408059,11370,339140,57549,3450,96,331000000,1232.8066465256798,34.35045317220544,2.786361776115709,83.11053058503795
USA,2020-05-03,416122,8671,382712,24739,2535,52,331000000,1257.166163141994,26.196374622356497,2.0837638961650673,91.97110462796968
USA,2020-05-04,424340,6198,359478,58664,2301,33,331000000,1281.9939577039277,18.725075528700906,1.4606211999811471,84.71461563840317
USA,2020-05-05,432718,11775,360741,60202,2595,70,331000000,1307.3051359516614,35.57401812688822,2.7211717562014983,83.36630322750614
USA,2020-05-06,441256,9292,379598,52366,3396,71,331000000,1333.0996978851963,28.072507552870093,2.105807059847345,86.02670558587306
USA,2020-05-07,449959,6556,426621,16782,2061,30,331000000,1359.392749244713,19.806646525679756,1.4570216397493996,94.81330521225267
USA,2020-05-08,458830,10515,416418,31897,2959,67,331000000,1386.1933534743202,31.76737160120846,2.291698450406469,90.75648933156072
USA,2020-05-09,467871,13217,389059,65595,2634,74,331000000,1413.5075528700906,39.93051359516616,2.824923964084117,83.15518593800428
USA,2020-05-10,477085,6663,406642,63780,2855,39,331000000,1441.344410876133,20.129909365558913,1.3966064747372062,85.23470660364505
USA,2020-05-11,486476,5981,413849,66646,2492,30,331000000,1469.716012084592,18.069486404833835,1.2294542793477992,85.07079485935586
USA,2020-05-12,496048,17107,417176,61765,2448,84,331000000,1498.6344410876134,51.68277945619335,3.448658194368287,84.09992581363093
USA,2020-05-13,505802,14710,464980,26112,1965,57,331000000,1528.1027190332327,44.44108761329305,2.9082526364071315,91.92925294878232
USA,2020-05-14,515743,11148,468250,36345,2518,54,331000000,1558.1359516616315,33.6797583081571,2.161541698093818,90.79134375066651
USA,2020-05-15,525873,17736,485983,22154,2027,68,331000000,1588.7401812688822,53.58308157099698,3.372677433524825,92.41451833427462
USA,2020-05-16,536197,5567,510472,20158,2388,24,331000000,1619.930513595166,16.818731117824772,1.0382378118490032,95.20232302679798
USA,2020-05-17,546718,12839,497615,36264,2796,65,331000000,1651.7160120845922,38.78851963746223,2.3483770426435564,91.0185872789994
USA,2020-05-18,557438,18728,518944,19766,2997,100,331000000,1684.1027190332327,56.58006042296073,3.3596561411313903,93.09447866847972
USA,2020-05-19,568363,14726,523803,29834,3428,88,331000000,1717.108761329305,44.48942598187311,2.5909497979284364,92.15994003832057
USA,2020-05-20,579495,14101,489303,76091,3115,75,331000000,1750.7401812688822,42.601208459214504,2.4333255679514063,84.43610384904098
USA,2020-05-21,590837,18029,529911,42897,3350,102,331000000,1785.0060422960726,54.468277945619334,3.0514338133867716,89.68818811279591
USA,2020-05-22,602395,15835,513123,73437,3374,88,331000000,1819.9244712990935,47.83987915407855,2.628673876775206,85.18048788585563
USA,2020-05-23,614171,9436,541401,63334,2452,37,331000000,1855.501510574018,28.507552870090635,1.5363799332759118,88.1515082932929
USA,2020-05-24,626170,15940,543340,66890,2057,52,331000000,1891.7522658610271,48.157099697885194,2.545634572081064,86.77196288547839
USA,2020-05-25,638395,12534,583173,42688,3118,61,331000000,1928.6858006042296,37.86706948640483,1.963361241864363,91.34986959484331
USA,2020-05-26,650850,10750,582186,57914,2585,42,331000000,1966.3141993957706,32.477341389728096,1.651686256433894,89.45010371053237
USA,2020-05-27,663539,12413,626642,24484,3197,59,331000000,2004.6495468277947,37.50151057401813,1.8707265134377933,94.4393622680807
USA,2020-05-28,676467,13832,640178,22457,2078,42,331000000,2043.7069486404832,41.78851963746224,2.0447412808015764,94.63551067531749
USA,2020-05-29,689637,14197,620204,55236,2962,60,331000000,2083.4954682779457,42.89123867069486,2.0586192446170957,89.93194970687478
USA,2020-05-30,703053,19890,591156,92007,3018,85,331000000,2124.0271903323264,60.090634441087616,2.8290896987851557,84.084130214934
USA,2020-05-31,716721,17569,667028,32124,2460,60,331000000,2165.320241691843,53.0785498489426,2.4513025291570916,93.06661867030546
USA,2020-06-01,730643,11664,669787,49192,3009,48,331000000,2207.3806646525677,35.23867069486405,1.5964020732423356,91.67089809934537
USA,2020-06-02,744825,11884,656222,76719,3327,53,331000000,2250.226586102719,35.90332326283988,1.59554257711543,88.10418554694056
USA,2020-06-03,759271,17018,665618,76635,2975,66,331000000,2293.870090634441,51.41389728096677,2.2413604628650377,87.66540536909746
USA,2020-06-04,773985,9674,654569,109742,2568,32,331000000,2338.323262839879,29.226586102719033,1.2498950238053708,84.57127722113478
USA,2020-06-05,788972,24599,682270,82103,3736,116,331000000,2383.601208459215,74.31722054380664,3.1178546260196813,86.47581916722012
USA,2020-06-06,804236,21649,710512,72075,3742,100,331000000,2429.716012084592,65.40483383685802,2.6918715401946693,88.34620683480968
USA,2020-06-07,819782,9904,697308,112570,2932,35,331000000,2476.682779456193,29.9214501510574,1.2081260627825445,85.06017453420543
USA,2020-06-08,835615,19923,714160,101532,3133,74,331000000,2524.5166163141994,60.190332326283986,2.3842319728583137,85.465196292551
USA,2020-06-09,851740,25153,713853,112734,3750,110,331000000,2573.232628398792,75.99093655589124,2.9531312372320193,83.81113954962782
USA,2020-06-10,868161,29826,812775,25560,3732,128,331000000,2622.8429003021147,90.10876132930514,3.4355378783428416,93.6203077539765
USA,2020-06-11,884882,25153,787090,72639,2180,61,331000000,2673.359516616314,75.99093655589124,2.8425258961081816,88.94858297490514
USA,2020-06-12,901911,30860,812310,58741,3348,114,331000000,2724.8066465256798,93.23262839879155,3.4216236413570735,90.06542774176167
USA,2020-06-13,919250,29114,846179,43957,3591,113,331000000,2777.1903323262836,87.95770392749245,3.167147130813163,92.05101985314114
USA,2020-06-14,936905,14582,827875,94448,2861,44,331000000,2830.5287009063445,44.05438066465256,1.5564011292500306,88.36274755711625
USA,2020-06-15,954881,13048,858574,83259,3707,50,331000000,2884.836858006042,39.41993957703927,1.3664529925718494,89.91424062265351
USA,2020-06-16,973184,23874,905239,44071,2527,61,331000000,2940.132930513595,72.12688821752266,2.4531845981849267,93.01827814678416
USA,2020-06-17,991818,15786,935939,40093,3704,58,331000000,2996.429003021148,47.69184290030211,1.5916226565761058,94.36600263354768
USA,2020-06-18,1010789,18957,927344,64488,3190,59,331000000,3053.7432024169184,57.27190332326284,1.8754656016240778,91.74456785738666
USA,2020-06-19,1030103,20035,944019,66049,2997,58,331000000,3112.093655589124,60.52870090634441,1.9449511359543659,91.64316578050932
USA,2020-06-20,1049763,19164,929738,100861,2579,47,331000000,3171.489425981873,57.897280966767376,1.825554910965618,88.56646690729241
USA,2020-06-21,1069777,21534,962891,85352,2595,52,331000000,3231.954682779456,65.05740181268882,2.0129428843581416,90.00857187993385
USA,2020-06-22,1090149,31810,1004083,54256,3493,101,331000000,3293.501510574018,96.10271903323262,2.917949748153693,92.10511590617429
USA,2020-06-23,1110885,30022,949538,131325,3507,94,331000000,3356.1480362537764,90.70090634441088,2.7025299648478462,85.47581432821579
USA,2020-06-24,1131991,24839,952091,155061,2882,63,331000000,3419.912386706949,75.04229607250755,2.1942753961824786,84.10764749896421
USA,2020-06-25,1153472,24117,1068655,60700,3125,65,331000000,3484.809667673716,72.86102719033232,2.0908179825778173,92.64680893857849
USA,2020-06-26,1175333,28090,1019580,127663,3964,94,331000000,3550.85498489426,84.86404833836858,2.389960972762613,86.74818115376664
USA,2020-06-27,1197581,39659,1111945,45977,2241,74,331000000,3618.0694864048337,119.81570996978851,3.3115922847807373,92.84925195039
USA,2020-06-28,1220222,33416,1019528,167278,2636,72,331000000,3686.4712990936555,100.95468277945619,2.7385180729408254,83.5526650068594
USA,2020-06-29,1243260,19171,1083734,140355,2480,38,331000000,3756.07250755287,57.918429003021146,1.5419944339880638,87.16873381271817
USA,2020-06-30,1266703,34736,1103970,127997,4034,110,331000000,3826.8972809667675,104.94259818731118,2.742237130566518,87.1530264000322
USA,2020-07-01,1290556,42435,1204492,43629,3559,117,331000000,3898.9607250755284,128.202416918429,3.2881176795117764,93.3312463775303
USA,2020-07-02,1314824,26116,1111911,176797,2294,45,331000000,3972.2779456193352,78.90030211480362,1.9862734480052082,84.56728809331135
USA,2020-07-03,1339514,19077,1224866,95571,2821,40,331000000,4046.870090634441,57.63444108761329,1.4241732449231588,91.4410748973135
USA,2020-07-04,1364633,21472,1184550,158611,2927,46,331000000,4122.758308157099,64.87009063444108,1.5734633414258632,86.80355817278345
USA,2020-07-05,1390185,22936,1236524,130725,2880,47,331000000,4199.954682779456,69.29305135951661,1.64985235777972,88.94672291817275
USA,2020-07-06,1416177,24066,1251987,140124,2267,38,331000000,4278.480362537764,72.70694864048338,1.6993638507051025,88.4061102531675
USA,2020-07-07,1442616,24198,1228324,190094,3353,56,331000000,4358.356495468278,73.10574018126889,1.6773694455073282,85.14559661060184
USA,2020-07-08,1469506,49247,1278228,142031,2360,79,331000000,4439.595166163142,148.78247734138972,3.351262260923058,86.98351690976423
USA,2020-07-09,1496856,49365,1244740,202751,3326,109,331000000,4522.223564954683,149.13897280966768,3.29791242444163,83.15696366250327
USA,2020-07-10,1524670,36271,1294579,193820,3897,92,331000000,4606.253776435045,109.58006042296073,2.3789410167446072,84.90879993703555
USA,2020-07-11,1552955,45719,1368034,139202,3016,88,331000000,4691.7069486404835,138.12386706948638,2.9440003090881577,88.09231432977775
USA,2020-07-12,1581718,30714,1457865,93139,4122,80,331000000,4778.60422960725,92.7915407854985,1.941812636639401,92.16971672573746
USA,2020-07-13,1610964,49503,1433873,127588,2994,92,331000000,4866.960725075528,149.5558912386707,3.072880585785902,89.00714106584628
USA,2020-07-14,1640700,17917,1405431,217352,2367,25,331000000,4956.79758308157,54.12990936555891,1.092033887974645,85.66044980800878
USA,2020-07-15,1670932,19857,1540462,110613,2275,27,331000000,5048.132930513595,59.99093655589124,1.1883787012278177,92.19178278948516
USA,2020-07-16,1701667,48919,1585943,66805,3286,94,331000000,5140.987915407855,147.7915407854985,2.874769270368409,93.19937449571508
USA,2020-07-17,1732910,48786,1584507,99617,3392,95,331000000,5235.377643504532,147.38972809667675,2.815264497290684,91.43619691732404
USA,2020-07-18,1764669,28282,1518653,217734,2997,48,331000000,5331.326283987915,85.4441087613293,1.6026801626820668,86.05880196229434
USA,2020-07-19,1796949,30311,1545573,221065,2757,46,331000000,5428.848942598187,91.57401812688822,1.6868035765066232,86.01095523579133
USA,2020-07-20,1829757,52925,1520306,256526,3984,115,331000000,5527.966767371601,159.89425981873111,2.892460583563828,83.08786357969939
USA,2020-07-21,1863099,19664,1677119,166316,2802,29,331000000,5628.697885196375,59.40785498489426,1.0554457921989118,90.01770705689822
USA,2020-07-22,1896982,58397,1630702,207883,3214,98,331000000,5731.063444108761,176.42598187311177,3.0784161367899117,85.96296643826878
USA,2020-07-23,1931412,66053,1605344,260015,3887,132,331000000,5835.081570996978,199.55589123867068,3.41993318877588,83.11763621640542
USA,2020-07-24,1966395,48666,1740541,177188,3847,95,331000000,5940.770392749244,147.02719033232628,2.474884242484343,88.51431172272102
USA,2020-07-25,2001937,59290,1800296,142351,3124,92,331000000,6048.148036253777,179.1238670694864,2.9616316597375443,89.92770501769036
USA,2020-07-26,2038044,66396,1821944,149704,3888,126,331000000,6157.232628398791,200.59214501510576,3.2578295659956313,89.39669604777914
USA,2020-07-27,2074724,52287,1873580,148857,4243,106,331000000,6268.04833836858,157.9667673716012,2.5201906374052645,90.3050237043578
USA,2020-07-28,2111982,25924,1954986,131072,3408,41,331000000,6380.610271903322,78.3202416918429,1.2274725826261776,92.56641391830044
USA,2020-07-29,2149823,45732,2018363,85728,3400,72,331000000,6494.9335347432025,138.1631419939577,2.1272448941145385,93.88507798083843
USA,2020-07-30,2188256,50526,1996034,141696,2911,67,331000000,6611.045317220543,152.6465256797583,2.3089620227249466,91.21574441016041
USA,2020-07-31,2227284,47850,2072752,106682,3909,83,331000000,6728.954682779456,144.56193353474322,2.1483564736243785,93.061863686894
USA,2020-08-01,2266915,26422,1916749,323744,3862,45,331000000,6848.685800604229,79.82477341389729,1.165548774435742,84.55319233407516
USA,2020-08-02,2307154,43109,1981256,282789,3573,66,331000000,6970.253776435045,130.23867069486403,1.8684925236893593,85.87445831530968
USA,2020-08-03,2348007,43529,2107379,197099,3497,64,331000000,7093.676737160121,131.50755287009065,1.8538701119715573,89.75181930888621
USA,2020-08-04,2389480,58826,2093011,237643,3264,80,331000000,7218.972809667674,177.72205438066467,2.4618745501113213,87.59273984297839
USA,2020-08-05,2431578,35261,2237154,159163,3748,54,331000000,7346.157099697885,106.52870090634441,1.450128270612746,92.00420467696287
USA,2020-08-06,2474309,78826,2184269,211214,3179,101,331000000,7475.253776435045,238.14501510574019,3.1857783324556475,88.27793941662097
USA,2020-08-07,2517676,63063,2152356,302257,4317,108,331000000,7606.271903323263,190.52265861027192,2.504809991436547,85.48979296780045
USA,2020-08-08,2561685,47716,2241742,272227,4019,74,331000000,7739.229607250755,144.15709969788517,1.8626802280530197,87.51044722516625
USA,2020-08-09,2606342,61816,2326029,218497,2427,57,331000000,7874.145015105741,186.75528700906344,2.371753208136154,89.24496478205853
USA,2020-08-10,2651652,85795,2220620,345237,3089,99,331000000,8011.033232628398,259.19939577039275,3.235530152523785,83.7447749553863
USA,2020-08-11,2697621,48663,2280951,368007,3041,54,331000000,8149.912386706948,147.01812688821752,1.8039227897469658,84.55416828383231
USA,2020-08-12,2744252,74628,2433092,236532,3354,91,331000000,8290.791540785498,225.46223564954684,2.719429556760822,88.6613911550397
USA,2020-08-13,2791552,54245,2327563,409744,2699,52,331000000,8433.691842900302,163.8821752265861,1.9431842931817138,83.37881579852355
USA,2020-08-14,2839525,34394,2585414,219717,4157,50,331000000,8578.625377643504,103.90936555891238,1.2112589253484298,91.05093281446722
USA,2020-08-15,2888176,67625,2710225,110326,4405,103,331000000,8725.607250755287,204.30513595166164,2.3414431807479876,93.83863725756325
USA,2020-08-16,2937508,85184,2606316,246008,2875,83,331000000,8874.646525679758,257.35347432024173,2.899872953537488,88.7254094286722
USA,2020-08-17,2987528,34531,2562400,390597,3874,44,331000000,9025.764350453172,104.32326283987916,1.1558385394212205,85.76990742848268
USA,2020-08-18,3038238,82576,2811818,143844,2673,72,331000000,9178.966767371601,249.47432024169186,2.7178910934561413,92.54765426539988
USA,2020-08-19,3089643,33250,2916000,140393,3947,42,331000000,9334.268882175227,100.45317220543807,1.076176114845631,94.37983611698827
USA,2020-08-20,3141746,62612,2656012,423122,3137,62,331000000,9491.679758308157,189.16012084592145,1.9929045823564349,84.53936123416725
USA,2020-08-21,3194553,46503,2888889,259161,3935,57,331000000,9651.217522658611,140.49244712990935,1.4556966185879527,90.4317129814406
USA,2020-08-22,3248065,39724,2933194,275147,4155,50,331000000,9812.885196374622,120.01208459214502,1.2230050814869777,90.30588981439719
USA,2020-08-23,3302286,61333,2939143,301810,2902,53,331000000,9976.694864048337,185.29607250755288,1.857289162719401,89.00328439147911
